user_address,category,volume,net_pnl,win_rate,maker_pct,trade_count,cluster_name
0xd0254dd9c10498b256b6ec3bd8de37a9ba4329de,Smart Money,13885920.1378985,231692.786847,65.75467396260831,36.947278911564624,2352,Large Struggling Diversified
0x5405450cae1b86581f017d1c35ad954d8703f802,Smart Money,158186.928392,216726.11149,100.0,32.30593607305936,438,Large Taker
0x22b9a3617a83d92a6977dafeb1d2e0cf3cc8776f,Smart Money,81669.8711675,209742.091099,100.0,0.0,897,Large Taker
0xf07fa5f5a652c2c970ba4d6ae380d93f328bbdd6,Smart Money,3449131.730595,187442.947313,100.0,44.9438202247191,44,Large Taker
0xd985bd504d737c6533335dfa4ad74e571bb3bd88,Smart Money,2537132.4507115,155228.951477,87.42138364779875,21.464646464646464,198,Large Taker
0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,Whale,200092603.4836385,161281.090421082,50.23072082779836,96.48632543612715,24333,Large Struggling Diversified
0xc6ac58a7a63339898aeda32499a8238a46d88e84,Whale,166014047.906295,-51493.706598,53.20749904348935,20.57232346241458,7024,Large Taker
0x162cc7c861ebd0c06b3d72319201150482518185,Whale,122116497.69692577,-88294.8380100459,45.44936456374309,33.55108286252354,50976,Large Taker
0xf9109ada2f73c62e9889b45453065f0d99260a2d,Whale,121544488.59327115,-265320.3349538065,43.00371098013534,87.0185574229692,22848,Large Taker
0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,Whale,86966853.6645546,-1390011.08093769,34.427911749615184,87.6450286385666,40854,Large Struggling Diversified
0xd911e53d53b663972254e086450fd6198a25961e,Whale,86207247.963535,-169910.6946459999,20.723684210526315,66.77288528389339,1726,Large Taker
0xf3e16a28b09be3836e66f091613c230128141fc1,Whale,81903654.10083,-144524.8705949999,39.49876456053653,0.0,4580,Large Taker
0x023a3d058020fb76cca98f01b3c48c8938a22355,Whale,79534594.910401,-491403.20362671,44.46041026657417,99.52747946936196,19787,Large Struggling Diversified
0x8e80c4b533dd977cf716b5c24fd9223129272804,Whale,71031406.399581,48489.5844250001,54.239436619718305,96.49444712699179,5177,Large Taker
0x09bc1cf4d9f0b59e1425a8fde4d4b1f7d3c9410d,Whale,64156817.912375,-150933.076374,16.267942583732058,69.90445859872611,1256,Large Taker
0xb8eb97eaed8367079894d2f1bed69bd220ec1dd5,Whale,64084401.4638,-212955.924638,28.39262187088274,99.58816922500937,1335,Large Taker
0x7b7f72a28fe109fa703eeed7984f2a8a68fedee2,Whale,57642445.494725,123402.201005,51.85026737967915,100.0,4076,Large Taker
0x875d24a727a186bd73d87cc8851f5b4526f70d09,Whale,53878221.977343,-592070.653919,0.0,0.0,1973,Large Taker
0xee162a5a60829bd346f0c1ac3514b21fe5f4b290,Whale,50255259.7876875,-14458.891433,51.83151432469304,61.265880046744826,26527,Large Taker
0xfdd42517e81cf2f29e517d197e47736da3197cd6,Whale,49170433.66373,-76447.090846,28.406909788867562,0.0,1566,Large Taker
0x8ce52ccbdf2417e8d9ea7f145a7a14258c235746,Whale,42601371.33909,12486.9387199999,66.88311688311688,0.0,1110,Large Taker
0x348e5365acfa48a26ada7da840ca611e29c950ef,Whale,41851992.257592,-6167.378811,46.729069162766514,38.40303082885072,17289,Large Taker
0x7839e2f2c375dd2935193f2736167514efff9916,Market Maker,38805109.548735,-3956.356574,41.38464337700146,100.0,12104,Large Taker
0xcb92c5988b1d4f145a7b481690051f03ead23a13,Market Maker,38438843.226245,-16745.566688,0.0,89.37163375224416,1392,Large Taker
0x49ba9baa20d355ba042af2be9772d2b2cd892f44,Market Maker,35756235.994565,885.151296,36.38497652582159,81.52330610283518,2081,Large Taker
